"Project Name",Subtype,"Current Status","Capacity (MW)","Year of Completion","Country list of Sponsor/Developer","Sponsor/Developer Company","Country list of Lender/Financier","Lender/Financier Company","Country list of Construction/EPC","Construction Company/EPC Participant",Country,Province/State,District
"Lamtakong Wind Turbines Phase 2",Wind,Operational,24,2018,Thailand,"EGAT (Thailand)",,,China,"Power Construction Corp (China)",Thailand,"Nakhon Ratchasima",Sikhiu
"Lan Krabue",Gas,Operational,150,1982,Thailand,"EGAT (Thailand)",,,," ",Thailand,"Kamphaeng Phet","Lan Krabu"
"Lao Chai",Hydro,Operational,2.4,2013,Vietnam,"Hong Ngoc Co. Ltd",,,," ",Vietnam,"Lào Cai","Sa Pa"
"Lap Vo Rice Husk Power Plant (Nhà máy điện đốt trấu Lấp Vò)",Biomass,Operational,10,,Vietnam,"Duy Phat Electricity Joint Stock
Company (Vietnam), Investment and Trade Consultancy
Company Limited (INTRACO - Vietnam)
",Germany,"RWE Power Aktiengesellschaft",," ",Vietnam,"Đồng Tháp","Lấp Vò"
"Laungdin (Lawngdin)",Hydro,Planned,600,2026,"China; Myanmar","Yunnan Energy Investment Group (China), International Group of Entrepreneurs (Myanmar)",,,"China; Myanmar","YEIG (China)/IGOEC (Myanmar)",Myanmar,Kachin,Myitkyina
Launglon,Coal,Cancelled,500,,Myanmar,"Cwave Global Inc, 24 hour Mining & Industry (Myanmar)",,,," ",Myanmar,Tanintharyi,Dawei
"Laymyo 1 (Lemro 1)",Hydro,Planned,600,,Myanmar,"Ministry of Electricity & Energy",,,France,"Tractabel ",Myanmar,Chin,Mindat
"Laymyo 2 (Lemro 2)",Hydro,Planned,90,,Myanmar,"Ministry of Electricity & Energy",,,France,"Tractabel ",Myanmar,Rakhine,Sittwe
"Lee&Man (Nhà máy nhiệt điện Lee & Man)",Biomass,Operational,125,2018,"Hong Kong, China","Lee & Man Paper Company (China)","Hong Kong, China","Lee & Man Paper Company (Hong Kong)",," ",Vietnam,"Hậu Giang","Châu Thành"
Lemyathnar,Wind,Planned,90,,China,"China Three Gorges (China)",,,," ",Myanmar,Ayeyarwady,Hinthada
"LIC Chu Ngoc (Điện mặt trời Chư Ngọc LICOGI 16) (18 ha)",Solar,Operational,15,2019,Vietnam,"Cty CP EVN LICOGI 16 (Vietnam)",,,," ",Vietnam,"Gia Lai","Krông Pa"
Lidi,Hydro,Operational,420,2019,China,"‎Huaneng Lancang Hydropower Co Ltd",China,,China,"China Huaneng Group; PowerChina",China,Yunnan,"Dêqên Tibetan"
"Lien Lap (Điện gió Liên Lập)",Wind,"Under Construction",48,2021,Vietnam,"Công ty cổ phần Xây lắp điện 1, Công ty CP Đầu tư xây dựng và thương mại Phú Điền",,,," ",Vietnam,"Quảng Trị","Hướng Hóa"
"LIG Quang Tri (Điện mặt trời LIG Quảng Trị)",Solar,Operational,49.5,2019,Vietnam,"Công ty cổ phần LICOGI 13",,,," ",Vietnam,"Quảng Trị","Gio Linh"
"Lim Power Plant",Hydro,Planned,600,,Thailand,"Impacted Energy Asia Limited (Thailand)",,,," ",Laos,Attapu,Xaysetha
Linchang,Hydro,Planned,72,,China,"‎Huaneng Lancang Hydropower Co Ltd",China,,China,"China Huaneng Group; PowerChina",China,Xizang,Chamdo
"Loc Ninh 1 Solar (Điện mặt trời Lộc Ninh 1)",Solar,"Under Construction",220,2019,Vietnam,"Công ty Cổ phần Tập đoàn Hưng Hải",,,Vietnam,"Vietnam PRP Corp - Design Consultants (Vietnam)",Vietnam,"Bình Phước","Bình Long"
"Loc Ninh 2-5 ((Điện mặt trời Lộc Ninh 2-5)",Solar,Planned,800,,Vietnam,"Công ty Cổ phần Tập đoàn Hưng Hải",,,," ",Vietnam,"Bình Phước","Bình Long"
