"Project Name",Subtype,"Current Status","Capacity (MW)","Year of Completion","Country list of Sponsor/Developer","Sponsor/Developer Company","Country list of Lender/Financier","Lender/Financier Company","Country list of Construction/EPC","Construction Company/EPC Participant",Country,Province/State,District
"Surin 3 Solar Power Plant",Solar,Operational,7.4,2014,Thailand,"Solar Power (Surin 3) Company Limited (Solar Power Co. Ltd)",,,," ",Thailand,Surin,"Tha Tum"
"Suvannaphum Power Plant",Coal,Operational,10,2008,"Thailand; Cambodia","Suvannaphum Investment Co.",,,," ",Cambodia,Kandal,"Kien Svay"
"Svay Rieng Solar",Solar,"Under Construction",20,2021,"Cambodia; Malaysia","Pestech International",,,," ",Cambodia,"Svay Rieng","Svay Teab"
"Sông Hinh Hydro",Hydro,Operational,64,,Vietnam,EVN,,,," ",Vietnam,"Phú Yên","Sông Hinh"
"T.H. Pellet Watewater Treatment",Waste,Unknown,1,,Thailand,"T.H. Pellet Co. Ltd.",,,Japan,"Marubeni Co.",Thailand,"Nakhon Ratchasima",Sikhiu
"Ta Khit Solar Power Plant",Solar,Operational,7.6,,Thailand,"G-Power Source Co Ltd",,,," ",Thailand,"Nakhon Sawan","Banphot Phisai"
"Ta Loi 3",Hydro,Operational,7.5,2012,Greece,Intracom,,,," ",Vietnam,"Lào Cai","Bát Xát"
"Ta Niet",Hydro,Operational,3.6,2014,Vietnam,"Ta Niet Hydro Power JSC",,,," ",Vietnam,"Sơn La","Mộc Châu"
"Ta Sang",Solar,Operational,7.6,2012,Thailand,"G-Power Source Co., Ltd (Gunkul Engineering Plc.)",,,," ",Thailand,"Nakhon Sawan","Banphot Phisai"
"Ta Thang",Hydro,Operational,60,2013,Vietnam,"Lao Cai Vietracimex Electricity JSC.; Vietnam Trading Engineering Company",Japan,JBIC,," ",Vietnam,"Lào Cai","Sa Pa"
"Ta Trach",Hydro,Operational,21,2013,Vietnam,"Bitexco Group",,,," ",Vietnam,"Thừa Thiên Huế","Hương Thủy"
"Ta Vi",Hydro,Operational,3,2011,Vietnam,"Manh Nam Pressure Mechanical JSC",,,," ",Vietnam,"Quảng Nam","Bắc Trà My"
"Tad Sampamit",Hydro,Planned,5,,Thailand,"Charoen Xaytong Construction",,,," ",Laos,Champasak,Pathoomphone
"Tadsakoi (Xaybangluang 2)",Hydro,"Under Construction",30,,"Thailand; Laos","B. Grimm Power Pcl, Daosavan Investment and Construction Group Sole Company",,,," ",Laos,Savannakhét,Khanthabouly
Tadsalaem,Hydro,Operational,3.2,2012,Thailand,"SIC Manufacturer",,,," ",Laos,Savannakhét,Champhone
Taikgyi,Wind,Planned,40,,China,"China Three Gorges",,,," ",Myanmar,Yangon,Yangon-N
"Takhian - Sonnedix Solar Power Plant",Solar,Operational,7.5,,Thailand,"Chiangrai Solar Company ,Ltd.",,,," ",Thailand,"Nakhon Ratchasima","Dan Khun Thot"
"Tam Jae",Hydro,Planned,5,,Thailand,"DMD Patana Company Ltd",,,," ",Laos,Xiangkhoang,Kham
"Tan Lap (Điện gió Tân Lập)",Wind,Planned,30,,Vietnam,"Công ty Cổ phần Đầu tư Điện lực 3 (PC3-INVEST)",,,," ",Vietnam,"Quảng Trị","Hướng Hóa"
"Tan Linh (Điện gió Tân Linh)",Wind,"Under Construction",48,2021,Vietnam,"Công ty CP Đầu tư xây dựng và thương mại Phú Điền",,,Denmark,Vestas,Vietnam,"Quảng Trị","Hướng Hóa"
"Tan Phuoc 1",Gas,Planned,1200,2027,Vietnam,EVN,,,," ",Vietnam,"Tiền Giang","Gò Công Đông"
"Tan Phuoc 2",Gas,Planned,1200,2028,Vietnam,EVN,,,," ",Vietnam,"Tiền Giang","Gò Công Đông"
"Tan Thanh (Nhà máy nhiệt điện Tân Thành)",Coal,Cancelled,2400,,Japan,J-Power,Japan,,," ",Vietnam,"Bà Rịa - Vũng Tàu","Tân Thành"
"Tan Thuan Wind Power Project",Wind,"Under Construction",90,2021,Vietnam,"Ca Mau Renewable Energy Investment JSC",,,"Vietnam; China","Power Engineering Consulting JSC No. 2; Energy China",Vietnam,"Cà Mau","Đầm Dơi"
Tanintharyi,Coal,Planned,1800,,"Thailand; Japan; Myanmar","Global Power Synergy Plc (subsidiary of Thailand government-backed PTT Plc), Marubeni Corporation, Electricity Generating Authority, SRI Energy Co, Ayeyar Hinthar Holdings Co.",,,," ",Myanmar,Tanintharyi,Mergui
"Tata - Solar Power Plant",Solar,Planned,49,2019,"India; Vietnam","Công ty Tata Power Limited -- subsidiary of Tập đoàn Tata Power Company Limited, Alphanam Group, EVN Tập Đoàn Điện lực Việt Nam",,,," ",Vietnam,"Bình Phước","Lộc Ninh"
Taunggut,Wind,Planned,96,,China,"China Three Gorges",,,," ",Myanmar,Shan,Taunggye
"Tay Nguyen wind farm - Dlie Yang (Nhà máy điện gió Dlieyang)",Wind,Operational,436,2019,Vietnam,"HBRE Wind Power Solution Co",,,," ",Vietnam,"Đắk Lắk","Ea H'leo"
"Tay Ninh",Solar,"Under Construction",320,2020,Vietnam,"TTC Corporation",,,," ",Vietnam,"Tây Ninh","Tây Ninh"
"TBEC Tha Chang Biogas Project",Waste,Unknown,2.8,,Thailand,"Thai Biogas Energy Co. Ltd.",Thailand,"Carbon Bridge Pte Ltd.",," ",Thailand,"Surat Thani","Tha Chang"
"Tha Chana",Nuclear,Planned,,,Thailand,EGAT,,,," ",Thailand,Trat,"Muang Trat"
"Tha Muang Solar Power Plant",Solar,Operational,8,,Thailand,"SSE-PV7 Project",,,," ",Thailand,Kanchanaburi,"Tha Muang"
"Tha Tako",Nuclear,Planned,,,Thailand,EGAT,,,," ",Thailand,"Surat Thani",Phunphin
"Tha Thung Na Dam",Hydro,Operational,39,,Thailand,EGAT,,,," ",Thailand,Kanchanaburi,"Muang Kanchanaburi"
"Tha Tum power station",Coal,Operational,328,1999,Thailand,"National Power Supply PCL",,,," ",Thailand,"Prachin Buri","Sri Mahar Pho"
"THA: BLCP POWER PROJECT (1-2)",Coal,Operational,1434,2007,Thailand,"Banpu, EGCO",ADB,"ADB and others",," ",Thailand,Rayong,"Muang Rayong"
"Thac Ba",Hydro,Operational,120,1971,Vietnam,EVN,,,," ",Vietnam,"Yên Bái","Yên Bình"
"Thac Mo (điện mặt trời Thác Mơ)",Solar,Planned,50,2021,Vietnam,"Công ty Cổ phần thủy điện Thác Mơ",,,," ",Vietnam,"Bình Phước","Bù Gia Mập"
"Thac Mo Hydropower Station Extension",Hydro,Operational,75,2017,Vietnam,"Thac Mo Hydropower JSC","Japan; Vietnam","JICA, EVN",USA,GE,Vietnam,"Bình Phước","Phước Long"
"Thac Mo MR",Hydro,Operational,150,1995,Vietnam,"Thac Mo Hydropower JSC",,,Vietnam,"Eastern Construction Co.",Vietnam,"Bình Phước","Phước Long"
"Thac Trang",Hydro,Operational,6,2006,Vietnam,"Song Da 11 JSC",,,," ",Vietnam,"Điện Biên","Điện Biên"
"Thachana Palm Oil Co. Wastewater Treatment Project",Waste,Unknown,2,,Thailand,"Thachana Palm Oil Co. Ltd.",,,Japan,"Mitsubishi UFJ Securities Co. Ltd.",Thailand,"Surat Thani","Tha Chana"
Thahtay,Hydro,"Under Construction",111,,Myanmar,MOEP,China,"China EXIM Bank (China); China Development Bank (China)",," ",Myanmar,Rakhine,Thandwe
"Thai Agro Energy Wastewater Treatment and Biogas Utilization Project",Waste,Unknown,,,Thailand,"Thai Agro Energy Public Co. Ltd.",,,Switzerland,"Swiss Carbon Assets Ltd.",Thailand,"Suphan Buri","Dan Chang"
"Thai Binh 1 (Nhà máy Nhiệt điện Thái Bình 1)",Coal,Operational,600,2018,Vietnam,EVN,"Japan; Vietnam","JICA, EVN",Japan,Marubeni,Vietnam,"Thái Bình","Thái Thụy"
"Thai Binh 2 (Nhà máy Nhiệt điện Thái Bình 2)",Coal,"Under Construction",1200,2022,Vietnam,PetroVietnam,"Japan; South Korea; USA","JBIC, ExIm Korea, Citibank, Mizhuo Financial Group, Bank of Tokyo - Mitsubishi","Japan; South Korea","Sojitz Corporation, Daelim Group",Vietnam,"Thái Bình","Thái Thụy"
"Thai Binh 3 (Nhà máy Nhiệt điện Thái Bình 3)",Coal,Planned,440,,Vietnam,Vinacomin,,,," ",Vietnam,"Thái Bình","Thái Thụy"
"Thai Carbon Blank Public Co., Ltd.",Waste,Unknown,12,,,,,,," ",Thailand,Phetchabun,"Wichian Buri"
"Thai Roong Ruang Energy Co., Ltd",Biomass,Unknown,8,,Thailand,"Thai Roong Ruang Industry Co., Ltd.",,,," ",Thailand,Saraburi,"Wang Muang"
"Thai Roong Ruang Energy Wastewater Treatment and Biogas Utilization Project",Waste,Unknown,4.5,,Thailand,"Thai Roong Ruang Energy Co. Ltd.",,,Switzerland,"Swiss Carbon Assets Ltd.",Thailand,Saraburi,"Wang Muang"
"Thai Solar Power 1",Solar,Operational,5,,Thailand,"Thai Solar Energy Co. Ltd.",,,," ",Thailand,Kanchanaburi,"Huai Kra Chao"
"Thai Sritong Biomass Energy",Biomass,Unknown,8,,"Thailand; Switzerland","Thai Sritong Co. Ltd.; Swiss Carbon Assets Ltd.",,,," ",Thailand,Krabi,"Lam Thap"
"Thai Sritong Power Generation Project",Waste,Unknown,2.4,2011,Thailand,"Thai Sritong Co. Ltd.",,,Switzerland,"Swiss Carbon Assets Ltd.",Thailand,Krabi,"Lam Thap"
"Thailand AEP Livestock Waste Management Project: A.P.",Waste,Unknown,0.1,2010,Thailand,"Advance Energy Plus Co., Ltd.",,IBRD,Netherlands,"Ministry of Energy and the Environment",Thailand,Ratchaburi,Photharam
"Thailand AEP Livestock Waste Management Project: Jung",Waste,Unknown,0.16,2010,Thailand,"Advance Energy Plus Co., Ltd.",,IBRD,Netherlands,"Ministry of Energy and the Environment",Thailand,Ratchaburi,"Pak Tho"
"Thailand AEP Livestock Waste Management Project: K.O.S.",Waste,Unknown,0.12,2009,Thailand,"Advance Energy Plus Co., Ltd.",,"IBRD (International Bank for Reconstruction and Development) as a Trustee of the Community Development Carbon Fund (CDCF)",Netherlands,"Ministry of Energy and the Environment",Thailand,Ratchaburi,"Pak Tho"
"Thailand AEP Livestock Waste Management Project: Kanchana",Waste,Unknown,0.32,2010,Thailand,"Advance Energy Plus Co., Ltd.",,IBRD,Netherlands,"Ministry of Energy and the Environment",Thailand,Ratchaburi,"Pak Tho"
"Thailand AEP Livestock Waste Management Project: Kanchana Hybrid",Waste,Unknown,0.28,2010,Thailand,"Advance Energy Plus Co., Ltd.",,IBRD,Netherlands,"Ministry of Energy and the Environment",Thailand,Ratchaburi,"Pak Tho"
"Thailand AEP Livestock Waste Management Project: Maneerat",Waste,Unknown,0.16,2009,Thailand,"Advance Energy Plus Co., Ltd.",,IBRD,Netherlands,"Ministry of Energy and the Environment",Thailand,Ratchaburi,"Chom Bung"
"Thailand AEP Livestock Waste Management Project: Panus-Amporn",Waste,Unknown,0.05,2010,Thailand,"Advance Energy Plus Co., Ltd.",,IBRD,Netherlands,"Ministry of Energy and the Environment",Thailand,"Chon Buri","K. Ko Chan"
"Thailand AEP Livestock Waste Management Project: Supparuek",Waste,Unknown,0.58,2009,Thailand,"Advance Energy Plus Co., Ltd.",,IBRD,Netherlands,"Ministry of Energy and the Environment",Thailand,Ratchaburi,"Chom Bung"
"Thailand AEP Livestock Waste Management Project: V. Tai",Waste,Unknown,0.12,2010,Thailand,"Advance Energy Plus Co., Ltd.",,IBRD,Netherlands,"Ministry of Energy and the Environment",Thailand,Ratchaburi,"Chom Bung"
"Thailand AEP Livestock Waste Management Project: Wanchai",Waste,Unknown,0.16,2009,Thailand,"Advance Energy Plus Co., Ltd.",,IBRD,Netherlands,"Ministry of Energy and the Environment",Thailand,Ratchaburi,"Chom Bung"
"Thailand TPI PP 60MW Refuse Incineration and 30MW Cement Kiln Waste Heat Recovery Power Plant Project EPC",Waste,Operational,90,2016,Thailand,EGAT,,,China,"China National Heavy Machinery Corporation (EPC) (China)",Thailand,Saraburi,"Muak Lek"
Thaketa,Gas,Operational,92,1990,Myanmar,MOEP,,,," ",Myanmar,Yangon,Yangon-E
Thaketa,Gas,Operational,106,2018,"China; Myanmar","MOEP, Union Resources and Engineering Co., U Energy Thaketa Power Co. Ltd.",,,," ",Myanmar,Yangon,Yangon-E
"Thaketa (Max Power)",Gas,Operational,50,2013,"Japan; Indonesia","Max Power, Mitsui",,,," ",Myanmar,Yangon,Yangon-E
"Thakhaek SEZ solar PV",Solar,Planned,,,China,"Hainan-Edentour GmbH Co., Ltd.",,,," ",Laos,Bolikhamxai,Viengthong
Thakwa,Hydro,Planned,150,,"China; Myanmar","China Datang Overseas Investment Ltd., Shwe Taung Hydropower Co.",,,," ",Myanmar,Yangon,Yangon-S
Thandwe,Wind,Planned,84,,China,"China Three Gorges",,,," ",Myanmar,Rakhine,Thandwe
"Thang Binh Solar Park",Solar,"Under Construction",150,,"United Kingdom","GT & Associates and Marshall & Street Ltd",,,," ",Vietnam,"Quảng Nam","Thăng Bình"
"Thang Long (Nhà máy Nhiệt điện Thăng Long)",Coal,Operational,600,2018,Vietnam,"Thang Long-Gelexemco Thermal Power Co.",China,"China Development Bank (China); China Export and Credit Insurance Corporation (Sinosure)(China)",China,"Wuhai Kaidi Electric Power Engineering (EPC) (China)",Vietnam,"Quảng Ninh","Hoành Bồ"
"Thanh Hai 1 (Dự án điện gió số 5 Thạnh Hải 1)",Wind,Planned,32,2020,Vietnam,"Công ty CP Tân Hoàn Cầu Bến Tre",,,"Germany; Denmark","Siemens Gamesa, Danish Export Credit Agency",Vietnam,"Bến Tre","Thạnh Phú"
Thanlyin,Gas,Planned,400,,Thailand,"Global Power Synergy Co.",,,"Myanmar; Japan","Eden Group (Myanmar); Marubeni Corp (Japan)",Myanmar,Yangon,Yangon-S
"Thap Sakae Solar Power Plant",Solar,Operational,5,,Thailand,EGAT,,,," ",Thailand,"Prachuap Khiri Khan","Thap Sakae"
"Thap Tai Solar Power Plant",Solar,Operational,1.7,,Thailand,"Bangkok Solar Power Company, Ltd.",,,," ",Thailand,"Prachuap Khiri Khan","Hua Hin"
"Thaphanseik Dam",Hydro,Operational,30,2002,China,"Power Construction Corp",China,"CITIC and China EXIM Bank (China)",," ",Myanmar,Sagaing,Shwebo
Thaton,Gas,Operational,51,1974,Myanmar,MOEP,,,," ",Myanmar,Mon,Thaton
"Thaton Combine Cycle Gas Turbine (CCGT) Power Plant",Gas,Operational,118.9,2019,Myanmar,MEPE,"World Bank Group","World Bank Group",China,"China Energy Engineering Corporation (China)",Myanmar,Mon,Thaton
"Thaukyegat 2 (Thauk Ye Khat 2)",Hydro,Operational,120,2013,Myanmar,"Gold Energy Myanmar, Shwe Energy",,,China,"Power Construction Corp (China)",Myanmar,Bago,Taungoo
"Thaukyekhet 1 (Thauk Ye Khat 1)",Hydro,Planned,150,,China,"Power Construction Corp",,,China,"Power Construction Corp, China/Changjiang Institute of Surveying, Planning & Design Research (China)",Myanmar,Kayin,Kawkareik
"The Mall - Bangkapi Solar Power Plant",Solar,Operational,1,,Thailand,"Thai Solar Energy Public Company Limited (TSE)",,,," ",Thailand,"Bangkok Metropolis","Bang Kapi"
"The Mall - Ngamwongwan Solar Power Plant",Solar,Operational,1,,Thailand,"Thai Solar Energy Public Company Limited (TSE)",,,," ",Thailand,Nonthaburi,"Muang Nonthaburi"
"The Mall - Tha Phra Solar Power Plant",Solar,Operational,1,,Thailand,"Thai Solar Energy Public Company Limited (TSE)",,,," ",Thailand,"Bangkok Metropolis","Thon Buri"
"Theparak Wind Farm",Wind,"Under Construction",270,2019,,,,,USA,"GE (USA)",Thailand,Chaiyaphum,"Muang Chaiyaphum"
"Thepha PP unit 1",Coal,Planned,1000,2021,Thailand,EGAT,,,," ",Thailand,Songkhla,Thepha
"Theppana Wind Power Project",Wind,Operational,7.5,2013,Thailand,"THEPPANA WIND FARM COMPANY",ADB,ADB,," ",Thailand,Chaiyaphum,"Thep Sathit"
"Theun-Hin Boun",Hydro,Operational,270,1998,"Norway; Thailand; Laos","Electricite du Laos (60 PCT), Statkraft (20 PCT), GMS Power (20 PCT)",ADB,ADB,Norway,Statkraf,Laos,Bolikhamxai,Viengthong
"Theun-Hin Boun Expansion",Hydro,Operational,250,2010,Laos,"Theun Hinboun Power Company","Australia; France; Thailand; Belgium; Netherlands; Germany","ANZ, BNP Paribas, Bank of Ayudhya, KBC, Kasikorn Bank, Siam City Bank, Thanachart Bank, Thai Exim Bank, DEG, FMO, PROPARCO","Norway; Vietnam","Statkraft, Cavico",Laos,Bolikhamxai,Khamkheuth
"Thien Tan #1 - stage 1 (nhà máy điện mặt trời Thiên Tân Solar Ninh Thuận, giai đoàn 1)",Solar,Planned,50,2019,"Vietnam; Finland","Công ty cổ phần Thiên Tân Solar Ninh Thuận – thành viên của Thiên Tân Group",USA,USTDA,,"First Solar (Equipment)",Vietnam,"Ninh Thuận","Bác Ái"
"Thien Tan #1 - stage 2 (nhà máy điện mặt trời Thiên Tân Solar Ninh Thuận, giai đoàn 2)",Solar,Planned,35,2020,"Vietnam; Finland","Công ty cổ phần Thiên Tân Solar Ninh Thuận – thành viên của Thiên Tân Group",USA,USTDA,,"First Solar (Equipment)",Vietnam,"Ninh Thuận","Bác Ái"
"Thien Tan #2 (nhà máy điện mặt trời Thiên Tân Solar Ninh Thuận)",Solar,Planned,300,2020,"Vietnam; Finland","Công ty cổ phần Thiên Tân Solar Ninh Thuận – thành viên của Thiên Tân Group",USA,USTDA,,"First Solar (Equipment)",Vietnam,"Ninh Thuận","Bác Ái"
"Thien Tan #3 (nhà máy điện mặt trời Thiên Tân Solar Ninh Thuận)",Solar,Planned,300,2020,"Vietnam; Finland","Công ty cổ phần Thiên Tân Solar Ninh Thuận – thành viên của Thiên Tân Group",USA,USTDA,,"First Solar (Equipment)",Vietnam,"Ninh Thuận","Bác Ái"
"Thien Tan #4 (nhà máy điện mặt trời Thiên Tân Solar Ninh Thuận)",Solar,Planned,300,2020,"Vietnam; Finland","Công ty cổ phần Thiên Tân Solar Ninh Thuận – thành viên của Thiên Tân Group",USA,USTDA,,"First Solar (Equipment)",Vietnam,"Ninh Thuận","Bác Ái"
"Thien Tan #5 (nhà máy điện mặt trời Thiên Tân Solar Ninh Thuận)",Solar,Planned,300,2020,"Vietnam; Finland","Công ty cổ phần Thiên Tân Solar Ninh Thuận – thành viên của Thiên Tân Group",USA,USTDA,,"First Solar (Equipment)",Vietnam,"Ninh Thuận","Bác Ái"
Thilawa,Gas,Operational,50,2016,Myanmar,MEPE,Japan,JICA,Japan,"Sumitomo Corporation",Myanmar,Yangon,Yangon-S
Thilawa,Coal,Cancelled,650,,"Thailand; Japan; Italy",Toyo-Thai,,,," ",Myanmar,Mon,Mawlamyine
"Thilawa LNG Thermal Plant",Gas,Planned,1250,2024,"Japan; Myanmar","Sumitomo Corp, Marubeni Corp, Mitsui & Co., Ltd., Eden Group Co., Ltd.",Japan,JICA,,,Myanmar,Yangon,Yangon-S
"Thinh Long Phu Yen",Solar,Unknown,50,,,,,,," ",Vietnam,"Quảng Nam","Nam Trà My"
"Thoen Power Plant",Biomass,Operational,9.9,2014,Thailand,"Advance Bio Asia Co., Ltd.",,,," ",Thailand,Lampang,"Mae Phrik"
"Thoi Lai waste management (Nhà máy xử lý rác thải sinh hoạt Thới Lai)",Waste,Operational,25,2018,China,"China Everbright International Limited",ADB,ADB,China,"China Everbright International Limited (China)",Vietnam,"Cần Thơ","Thới Lai"
Thomsin,Hydro,Planned,5,,Thailand,"Ari Sain and XJC Joint Venture",,,," ",Laos,Champasak,Pathoomphone
"Thon 5 Ninh Sơn (Nhà máy điện mặt trời thôn 5 xã Ninh Sơn - 200 ha)",Solar,Planned,170,2020,,,,,," ",Vietnam,"Khánh Hòa","Ninh Hòa"
"Thon Xuan Tay (Nhà máy điện mặt trời Thôn Xuân Tây - 194.5ha)",Solar,Planned,100,2020,Vietnam,"Công ty TNHH đầu tư và phát triển điện mặt trời KN Vạn Ninh",,,," ",Vietnam,"Khánh Hòa","Vạn Ninh"
"Thoong Cot 2",Hydro,Operational,3.5,2013,Vietnam,"Truong Minh Co. Ltd",,,," ",Vietnam,"Cao Bằng","Trùng Khánh"
"Thu Duc",Oil,Operational,279,,Vietnam,"Vietnam Electricity (EVN)",,,," ",Vietnam,"Hồ Chí Minh","Thủ Đức"
"Thuan Hoa",Hydro,Operational,42,2017,Vietnam,"Thuan Hoa Hydropower Joint-Stock Company","World Bank Group","World Bank Group",China,"People's Electric Alliance (China)",Vietnam,"Hà Giang","Vị Xuyên"
"Thuan Minh 2 (Nhà máy điện mặt trời Thuận Minh 2) 60 ha",Solar,"Under Construction",50,2019,Vietnam,"CTCP SD Trường Thành",,,," ",Vietnam,"Bình Thuận","Hàm Thuận Bắc"
"Thuan Nam 19 (Nhà máy điện mặt trời Thuận Nam 19) 73.5 ha",Solar,Operational,49,2019,Vietnam,"Tasco Energy JSC",,,," ",Vietnam,"Ninh Thuận","Thuận Nam"
"Thuan Nhien Phong (Trụ Tubin Điện gió Thuận Nhiên Phong)",Wind,Operational,32,2017,Vietnam,"Tổng CTCP Xây dựng Điện Việt Nam",,,Vietnam,"Công Ty Cổ phần Tàzon",Vietnam,"Bình Thuận","Bắc Bình"
"Thungsung Green Company Limited",Biomass,Unknown,9.2,2016,"Thailand; Germany","Thungsung Green Co. Ltd.",,,," ",Thailand,"Nakhon Si Thammarat","Thung Song"
"Thuong An",Hydro,Operational,2.4,2008,Vietnam,"Bac Kan Hydropower Petro & Gasoline JSC",,,," ",Vietnam,"Bắc Kạn","Ngân Sơn"
"Thuong Kon Tum Hydropower project",Hydro,Postponed,220,,Vietnam,"EVN, Vinh Son Song Hinh Hydropower JSC (VSH)",,,China,"Power Construction Corp, China Railway Construction (China)",Vietnam,"Kon Tum","Kon Plông"
"Thác Bà (Nhà máy điện mặt trời nổi trên hồ Thác Bà)",Solar,"Under Construction",500,2019,"South Korea; Vietnam","Solkiss Ltd., EVN",,,," ",Vietnam,"Yên Bái","Yên Bình"
Tigyit,Coal,Operational,120,2005,"China; Myanmar","Wuxi Huaguang Electric Power Engineering Co., China National Heavy Machinery Corporation, Eden Group, Shan Yoma Nagar",,,China,"China National Heavy Machinery Corporation (China), Eden Group (Myanmar)",Myanmar,Shan,Taunggye
Timit,Hydro,Planned,30,,China,"PowerChina International",,,," ",Myanmar,Chin,Palam
"Tipayanarai Company Limited (TP)",Solar,Operational,3.7,2013,Thailand,"Tipayanarai Co. Ltd. (Solar Power Asset Co. Ltd.; Solar Power Company Limited)",,,," ",Thailand,"Lop Buri","Chai Badan"
Tongxinqiao,Hydro,Planned,340,2026,"China; Myanmar","Yunnan Energy Investment Group, International Group of Entrepreneurs",,,"China; Myanmar","YEIG (China)/IGOEC (Myanmar)",Myanmar,Kachin,Myitkyina
"Tornhim, Muangtalim Power Plant",Hydro,Planned,300,,Thailand,"Pongsak Group",,,China,"Power Construction Corp (China)",Laos,Xékong,Lamarm
Tornsim,Hydro,Planned,5,,Thailand,"Charoen Xaytong Construction",,,," ",Laos,Champasak,Pathoomphone
"TPI Cement coal plant",Coal,Operational,150,2017,Thailand,"TPI Polene Power",,,," ",Thailand,Saraburi,"Kaeng Khoi"
"Tra Xom",Hydro,Operational,20,2013,Vietnam,"Tra Xom Hydropower JSC",,,," ",Vietnam,"Bình Định","Vĩnh Thạnh"
"Trang Palm Oil Wastewater Treatment Project",Waste,Unknown,2.126,,Thailand,"Trang Palm Oil Co. Ltd.",,,Japan,"Mitsubishi UFJ Morgan Stanley Securities Co. Ltd.",Thailand,Trang,Sikao
"Trang power stations",Biomass,Operational,7.5,2013,Thailand,"OTACO Co., Ltd.",Thailand,"Kasikorn Bank (Thailand)",Thailand,"ATT Consultants Co., Ltd.",Thailand,Trang,"Muang Trang"
"Tri An 1 (Nhà máy điện mặt trời nổi Trị An 1) - 176 ha",Solar,Planned,1000,2020,Vietnam,EVN,Vietnam,"Công ty MT Energy (DBFOM)",Vietnam,"Công ty MT Energy (DBFOM)",Vietnam,"Đồng Nai","Vĩnh Cửu"
"Tri An 2 - (Nhà máy điện mặt trời nổi Trị An 2) - 176 ha",Solar,Planned,126,2025,Vietnam,EVN,,,," ",Vietnam,"Đồng Nai","Vĩnh Cửu"
"Tri An Dong Nai (Nhà máy điện mặt trời nổi Trị An Đồng Nai) 1610 ha",Solar,Planned,1000,2020,Vietnam,"Công ty TNHH Phước An (tỉnh Vĩnh Phúc) liên doanh với một số công ty",,,," ",Vietnam,"Đồng Nai","Vĩnh Cửu"
"Tri An Floating (Nhà máy điện mặt trời nổi hồ Trị An) 1700 ha",Solar,Planned,1500,2020,Vietnam,"Công ty TNHH tư vấn công nghệ và đầu tư THT (Hà Nội)",,,," ",Vietnam,"Đồng Nai","Vĩnh Cửu"
"Tri An Lake (Dự án điện mặt trời Hồ Trị An) - 1200 ha",Solar,Planned,1000,2020,Vietnam,"Công ty cổ phần Le Delta (Hà Nội)",,,," ",Vietnam,"Đồng Nai","Vĩnh Cửu"
"Tri Energy Power Plant",Gas,Operational,700,2000,Thailand,"Ratchaburi Electric Generating Company",,,," ",Thailand,Ratchaburi,"Muang Ratchaburi"
"Truc Son (Dự án điện mặt trời Trúc Sơn) - 45-49 ha",Solar,"Under Construction",44.4,2019,"Spain; Japan; Vietnam","Univergy International, Europe Clean Energies, Thanh Nien Media Corporation JSC",,,," ",Vietnam,"Đắk Nông","Cư Jút"
"Trung Son",Hydro,Operational,250,2017,Vietnam,EVN,"World Bank Group","World Bank Group","South Korea; Vietnam","Samsung C&T Corp, Construction JSC 47",Vietnam,"Thanh Hóa","Quan Hóa"
"Trung Thu (Thủy điện Trung Thu)",Hydro,Operational,30,2016,Vietnam,"Power Construction No.1 JSC",,,," ",Vietnam,"Điện Biên","Mường Chà"
"Trungnam Solar Farm",Solar,Operational,204,2018,Vietnam,"CTCP Điện Mặt Trời Trung Nam",,,," ",Vietnam,"Ninh Thuận","Thuận Bắc"
"Trungnam Thuan Nam",Solar,Operational,450,2020,Vietnam,"Trungnam Group",,,,,Vietnam,"Ninh Thuận","Thuận Nam"
"Trungnam Tra Vinh Solar Farm",Solar,Operational,140,2019,Vietnam,"CTCP Điện Mặt Trời Trung Nam",,,," ",Vietnam,"Trà Vinh","Duyên Hải (Thị xã)"
"Trungnam Wind Farm",Wind,Operational,151.95,2016,"Vietnam; Finland","Trungnam Wind Power (Công ty Cổ phần Điện gió Trung Nam)",,,," ",Vietnam,"Ninh Thuận","Thuận Bắc"
"Trị An Hydro",Hydro,Operational,400,1988,Vietnam,"EVN, Tri An Hydropower Company",,,Vietnam,"Eastern Construction Co.",Vietnam,"Đồng Nai","Vĩnh Cửu"
"TSBP Sekong Power and Mineral Co. Ltd",Coal,Planned,600,,Laos,"TSBP Sekong Power and Mineral Co. Ltd",,,," ",Laos,Xékong,Lamarm
"TTC 1 and TTC 2 (120 ha)",Solar,Operational,118.8,2019,"Thailand; Vietnam","Gulf Energy Development, TTC Group",,,"Vietnam; India","Thanh Thanh Cong subsidiaries (EPC, O&M), Sterling and Wilson (India)",Vietnam,"Tây Ninh","Trảng Bàng"
"TTC Hàm Phú 02",Solar,Operational,49,2019,Vietnam,"Gia Lai Electricity Joint Stock Company GEG, TTC Duc Hue Long An Joint Stock Company",,,Japan,"Sharp Energy Solutions SESJ (Design Consultants), NSN Joint Stock Company (Vietnam)",Vietnam,"Bình Thuận","Hàm Thuận Bắc"
"TTC Krong Pa (Điện mặt trời TTC Krông Pa) (70 ha)",Solar,Operational,49,2018,Vietnam,"TTC and GEC (Tập đoàn TTC và Công ty Cổ phần Điện Gia Lai (GEC))",Vietnam,Vietcombank,Japan,"JGC (Japan)",Vietnam,"Gia Lai","Krông Pa"
